model,source,task_id,variant,run_index,weighted_total,auto_fail
glm-4.7-flash,judge,T01-inbox-triage,messy,0,2.5,False
glm-4.7-flash,judge,T01-inbox-triage,messy,1,0.0,True
glm-4.7-flash,judge,T01-inbox-triage,messy,2,4.1,False
glm-4.7-flash,judge,T01c-inbox-triage,clean,0,3.909,False
glm-4.7-flash,judge,T01c-inbox-triage,clean,1,1.909,False
glm-4.7-flash,judge,T01c-inbox-triage,clean,2,1.0,False
glm-4.7-flash,judge,T02-spreadsheet-reconciliation,messy,0,2.75,False
glm-4.7-flash,judge,T02-spreadsheet-reconciliation,messy,1,2.9,False
glm-4.7-flash,judge,T02-spreadsheet-reconciliation,messy,2,2.9,False
glm-4.7-flash,judge,T02c-spreadsheet-reconciliation,clean,0,3.714,False
glm-4.7-flash,judge,T02c-spreadsheet-reconciliation,clean,1,4.0,False
glm-4.7-flash,judge,T02c-spreadsheet-reconciliation,clean,2,3.857,False
glm-4.7-flash,human,T01-inbox-triage,messy,0,2.1,False
glm-4.7-flash,human,T01-inbox-triage,messy,1,3.3,False
glm-4.7-flash,human,T01-inbox-triage,messy,2,4.3,False
glm-4.7-flash,human,T01c-inbox-triage,clean,0,3.455,False
glm-4.7-flash,human,T01c-inbox-triage,clean,1,2.818,False
glm-4.7-flash,human,T01c-inbox-triage,clean,2,2.818,False
glm-4.7-flash,human,T02-spreadsheet-reconciliation,messy,0,3.5,False
glm-4.7-flash,human,T02-spreadsheet-reconciliation,messy,1,0.0,True
glm-4.7-flash,human,T02-spreadsheet-reconciliation,messy,2,3.9,False
glm-4.7-flash,human,T02c-spreadsheet-reconciliation,clean,0,4.429,False
glm-4.7-flash,human,T02c-spreadsheet-reconciliation,clean,1,4.071,False
glm-4.7-flash,human,T02c-spreadsheet-reconciliation,clean,2,4.357,False
gpt-oss-20b-free,judge,T01-inbox-triage,messy,0,3.1,False
gpt-oss-20b-free,judge,T01-inbox-triage,messy,1,3.1,False
gpt-oss-20b-free,judge,T01-inbox-triage,messy,2,4.2,False
gpt-oss-20b-free,judge,T01c-inbox-triage,clean,0,3.909,False
gpt-oss-20b-free,judge,T01c-inbox-triage,clean,1,0.0,True
gpt-oss-20b-free,judge,T01c-inbox-triage,clean,2,2.636,False
gpt-oss-20b-free,judge,T02-spreadsheet-reconciliation,messy,0,3.2,False
gpt-oss-20b-free,judge,T02-spreadsheet-reconciliation,messy,1,2.45,False
gpt-oss-20b-free,judge,T02-spreadsheet-reconciliation,messy,2,2.0,False
gpt-oss-20b-free,judge,T02c-spreadsheet-reconciliation,clean,0,0.0,True
gpt-oss-20b-free,judge,T02c-spreadsheet-reconciliation,clean,1,3.643,False
gpt-oss-20b-free,judge,T02c-spreadsheet-reconciliation,clean,2,4.429,False
gpt-oss-20b-free,human,T01-inbox-triage,messy,0,2.6,False
gpt-oss-20b-free,human,T01-inbox-triage,messy,1,2.6,False
gpt-oss-20b-free,human,T01-inbox-triage,messy,2,3.4,False
