Txn,Client,Date,Value
1001,Acme Corp,2024-03-04,12000.00
1002,Northwind Traders,2024-01-15,22500.00
1003,Sterling Freight,2024-01-22,4750.00
1004,Cirrus Analytics,2024-02-05,5250.00
1005,Delta Systems,2024-02-12,3000.00
1006,Meridian Health,2024-01-09,31200.00
1007,Pinnacle Foods,2024-03-18,6800.00
1008,Halcyon Travel,2024-02-05,11200.00
1009,Vantage Media,2024-02-26,9900.00
1010,Ironclad Security,2024-01-30,18400.00
1011,Quorum Legal,2024-03-11,2600.00
1012,Bluecrest Ltd,2024-02-14,8400.00
1013,Brightpath Education,2024-01-19,7350.00
1014,Cascade Utilities,2024-02-20,13750.00
1015,Redwood Logistics,2024-03-25,5940.00
1016,Summit Insurance,2024-01-27,27000.00
1017,Kestrel Robotics,2024-02-08,44800.00
1018,Onyx Consulting,2024-03-14,3850.00
1019,Everest Retail,2024-02-29,1500.00
1020,Larkspur Design,2024-01-12,6150.00
1021,Tidewater Marine,2024-03-21,19750.00
1012,Bluecrest Ltd,2024-02-14,8400.00
1022,Beacon Analytics,2024-02-16,8100.00
1023,Fairmont Realty,2024-01-24,15600.00
1024,Glenwood Pharma,2024-03-08,24300.00
1025,Sable and Finch,2024-02-03,4200.00
1026,Ashcroft Industrial,2024-01-17,33500.00
1027,Vireo Software,2024-03-28,10450.00
